-0.15,2.46,9.20, 0.02,0.06,0.03
-0.55,2.80,9.50, 0.07,0.23,0.00
-0.53,2.94,10.22, -0.25,-0.02,-0.01
-0.46,2.49,9.79, -0.08,0.08,0.04
-0.87,1.92,9.88, 0.06,0.12,0.03
-0.76,2.99,11.61, 0.52,-0.13,0.07
-1.94,4.01,14.47, 0.20,-0.36,0.33
-1.78,3.18,14.70, 0.25,-0.83,0.53
-0.92,3.69,14.50, 0.96,-1.08,0.78
-1.13,4.77,14.39, 1.01,-1.07,0.94
-0.50,5.65,13.99, 0.51,-1.53,1.04
1.00,5.15,12.55, 0.47,-1.80,1.45
1.48,4.34,11.74, 0.27,-2.02,1.42
2.41,4.27,10.42, -0.05,-2.47,1.26
4.10,3.12,7.90, -0.37,-2.61,1.24
5.71,1.53,7.32, -0.32,-2.47,1.08
5.88,0.06,7.72, -0.31,-2.28,0.62
4.72,-0.02,7.64, -0.51,-2.86,0.04
3.41,1.02,4.38, -0.06,-4.05,-0.39
2.37,2.39,-1.92, -0.15,-4.54,-0.69
3.42,3.97,-7.29, -1.28,-2.74,-1.15
3.66,5.09,-10.23, -1.98,-0.62,-1.20
3.04,7.65,-10.64, -1.39,1.57,-0.51
0.85,8.92,-7.58, -1.53,3.29,0.61
-1.11,8.46,-3.04, -1.82,3.97,1.52
-1.79,5.59,2.63, -2.03,4.07,2.47
-2.86,2.77,6.85, -2.01,3.66,2.76
-1.30,0.40,10.20, -1.36,3.64,2.96
-1.44,-3.52,13.85, -0.45,3.50,3.16
-0.97,-8.00,16.99, 0.39,3.22,2.89
-1.49,-9.91,19.44, 0.59,2.50,2.13
-1.86,-12.53,17.72, 0.09,0.85,1.40
-2.34,-14.26,14.38, 0.82,-0.43,0.74
-2.32,-13.27,11.89, 0.52,-0.58,-0.15
-2.15,-12.31,10.15, 0.15,-0.17,-1.30
-1.94,-9.29,9.60, -0.12,0.01,-2.24
-2.06,-8.08,9.09, -0.52,0.35,-3.06
-2.91,-6.09,9.26, -0.33,0.76,-3.63
-4.28,-3.49,10.14, -0.24,0.96,-4.11
-4.02,-1.11,9.87, -0.31,0.95,-4.34
-4.24,1.78,9.21, -0.22,1.21,-4.40
-2.78,4.53,8.88, -0.27,1.18,-3.97
-3.62,9.02,10.10, -0.91,1.18,-3.43
-5.39,11.30,12.31, -0.97,1.57,-2.32
-7.01,12.37,16.92, -1.13,1.47,-0.70
-6.08,8.03,18.93, -0.43,0.80,0.91
-5.55,4.01,20.13, 0.68,-0.58,1.96
-5.10,0.82,18.08, 0.49,-2.11,2.12
-3.57,-1.47,14.95, 0.17,-2.69,2.08
-1.03,-3.86,11.67, 0.33,-2.93,2.07
0.04,-4.02,9.99, 0.67,-2.88,1.75
0.14,-3.70,8.29, 0.33,-3.04,1.31
0.16,-3.56,6.27, 0.79,-3.13,1.10
0.73,-3.21,7.32, 1.29,-4.19,1.39
1.50,-3.37,2.23, 0.63,-4.69,1.58
3.27,-5.37,-0.74, -0.06,-2.49,0.98
4.38,-5.61,-1.69, 0.19,-0.45,-0.27
4.92,-2.90,1.15, 1.07,0.58,-0.27
5.09,-1.31,5.38, 0.09,0.44,-0.12
