-0.06,8.36,4.98, -0.04,-0.02,0.04
0.11,8.39,5.02, -0.00,-0.01,0.01
-0.01,8.51,4.86, -0.05,-0.00,0.00
0.01,8.29,4.97, -0.08,-0.02,0.00
0.04,8.33,5.06, -0.02,-0.03,0.01
-0.00,8.46,4.92, -0.05,-0.02,0.01
0.02,8.31,5.04, -0.05,-0.02,0.01
0.05,8.40,4.94, -0.01,-0.01,0.02
-0.01,8.41,4.88, -0.06,-0.02,0.00
0.02,8.32,4.96, -0.06,-0.02,0.01
0.08,8.52,4.84, -0.13,-0.02,0.04
0.24,8.24,4.89, -0.12,0.03,0.07
0.18,8.55,4.62, -0.11,0.19,0.14
-0.08,8.52,4.86, -0.10,0.30,0.19
-0.04,8.02,5.56, -0.18,0.13,0.09
-0.02,7.87,5.71, -0.08,-0.02,-0.00
-0.05,8.38,5.06, 0.02,-0.01,0.01
-0.09,8.55,4.90, -0.10,0.03,0.06
0.14,8.25,5.15, -0.10,0.07,0.09
0.11,8.01,5.31, -0.06,0.03,0.04
0.03,8.33,5.09, -0.02,-0.03,0.00
0.10,8.23,5.16, -0.07,-0.01,0.02
-0.02,8.30,5.16, -0.11,-0.00,0.02
-0.17,8.59,4.92, -0.03,0.13,0.16
0.11,8.39,4.94, -0.18,0.16,0.17
0.13,7.94,5.48, -0.12,0.13,0.12
0.10,7.78,5.69, 0.01,0.02,0.07
0.21,8.16,5.20, 0.04,-0.04,-0.02
0.03,8.24,5.24, -0.04,-0.05,-0.04
0.06,8.04,5.32, -0.12,-0.11,-0.10
0.08,8.26,5.40, -0.07,-0.13,-0.07
-0.06,8.56,4.77, 0.02,0.03,0.08
0.02,8.37,5.15, -0.05,0.11,0.12
-0.04,8.49,4.93, 0.04,0.21,0.22
-0.21,8.37,5.19, 0.02,0.26,0.26
0.26,7.81,5.43, -0.10,0.10,0.12
0.20,8.02,5.63, 0.06,0.04,0.05
0.11,8.48,4.91, 0.04,0.00,0.05
0.14,8.09,5.20, -0.02,-0.00,0.02
-0.02,8.49,5.07, -0.01,-0.00,0.03
-0.10,8.29,4.98, -0.04,0.05,0.10
0.24,8.10,5.21, -0.04,0.00,0.01
0.31,8.39,5.15, -0.03,-0.01,-0.02
0.04,8.16,5.10, -0.01,0.00,0.02
0.10,8.24,5.13, -0.02,-0.01,-0.01
0.15,8.46,5.04, -0.07,-0.01,0.01
0.09,8.19,5.15, -0.09,-0.02,0.00
0.08,8.30,5.15, -0.03,-0.01,0.02
0.02,8.30,5.02, -0.04,0.02,0.05
0.11,8.25,5.14, -0.07,-0.02,-0.00
0.12,8.28,5.12, -0.03,-0.01,0.01
0.07,8.28,5.06, -0.06,-0.01,0.01
0.10,8.29,5.17, -0.07,-0.02,-0.01
0.24,8.19,5.15, -0.05,0.00,-0.02
0.02,8.26,5.06, -0.08,-0.02,-0.04
-0.00,8.31,5.16, -0.11,-0.05,0.02
0.11,8.12,5.30, -0.13,-0.03,-0.00
-0.02,8.25,5.28, -0.08,0.04,-0.01
0.06,8.02,5.48, 0.16,0.01,0.10
0.23,7.54,5.95, 0.28,-0.04,0.01
-0.74,8.68,6.60, 0.83,-0.30,0.06
-0.23,8.32,8.05, 0.78,-1.15,0.28
0.18,11.55,7.18, 2.94,-1.30,1.13
-0.43,16.07,6.53, 2.25,-1.87,1.67
-0.44,16.31,5.11, 1.68,-2.26,2.39
0.66,14.45,3.13, 1.43,-1.99,3.20
1.00,10.67,0.88, 0.11,-2.07,3.44
2.15,8.87,-0.71, -0.69,-1.72,3.46
2.85,8.22,-1.59, -0.99,-0.18,3.94
4.55,5.76,-0.76, -1.31,0.42,3.79
4.62,3.68,0.71, -2.10,0.67,3.45
6.66,1.32,0.39, -2.44,0.44,2.79
7.29,1.77,0.45, -1.65,-0.25,2.69
8.12,1.14,0.60, -1.76,-0.76,2.52
9.05,-1.29,0.89, -1.38,-0.91,2.08
7.66,0.37,1.28, -1.23,-1.02,1.99
8.98,-1.76,0.36, -2.02,-1.33,1.50
8.68,-3.53,0.87, -1.27,-1.04,1.03
9.21,-2.74,0.79, -1.08,-1.14,0.72
9.05,-2.54,0.47, -0.76,-1.15,0.62
9.67,-3.20,-0.59, -0.45,-0.66,0.84
10.75,-3.79,-2.39, -0.42,-0.96,0.34
10.61,-2.83,-2.22, -0.02,-0.55,0.70
12.08,-3.27,-2.94, -0.04,-0.53,0.44
11.14,-2.66,-1.97, 0.24,-0.43,0.54
10.04,-1.90,-1.23, 0.02,-0.79,0.77
11.68,-4.39,-2.74, -0.16,-0.71,0.98
10.20,-8.16,-3.22, -0.53,-0.62,0.35
10.35,-10.56,-3.98, -0.05,-0.53,-0.06
10.41,-11.13,-6.40, 0.18,-0.40,-0.11
